Date Received,Your Title,Title-Level,Gender,Location,City,Global Region,Current Tenure,Was your previous role a CISO / Head of Security position?,Current Company Size,Industry,Industry Tier,Company Structure,Title of person you report to?,Annual Base,Annual Bonus,Est Annual Equity,Total Compensation,Which of the following functions fall under your direct responsibility and decision-making authority?,Team Size,How often do you present to the Board of Directors?,Did your most recent employment offer include a hiring bonus?,Amount of employment offer bonus?,Employment Bonus - Converted,Have you pre-negotiated a severance agreement as part of your employment?,Are you currently included in the following?,Do you have a negotiated accelerated vesting clause / early termination agreement?,Are you currently on a Board of Directors?,Are you currently on a Board of Advisors?,Are you compensated for your Advisor role?,What is the primary measure you use to justify your security budget requirements?,Do you have a personal liability insurance policy in place?,"When it comes to AI security, which area do you believe should receive the highest spending priority within the CISO’s security program?",How would you rate your organization’s current maturity in the area of AI governance and risk management?,What percentage of your organization’s overall annual information security budget do you plan to allocate to AI security?,Which aspect of AI governance and risk management poses the greatest challenge for your organization today?,What are your greatest concerns regarding AI tools in your organization?,Which AI risk management or governance frameworks is your organization currently using or planning to adopt?,Which attack vectors are your organization's highest security priorities for 2026?,"How confident are you in your internal team’s capability to evaluate and verify technical depth, leadership, and domain fit when sourcing security candidates?",Which trade-offs make hiring a security leader most difficult or costly for your organization?,Is your organization planning / considering on hiring a dedicated AI Security Leader,Record_Type,Role_Bucket,Company
Synthetic-2026,Head of Security,CISO / Head Security Level,Male,"Seattle, WA, USA",Seattle,North America,12,No,< 250 employees,Industrial / Manufacturing,Baseline,Privately Held Company,CEO,"$200,000","$337,000","$400,000","$937,000","AI Data Protection / Privacy and Security,AI Governance / Risk Management and Policy,AI Threat Intelligence and Incident Response,Cloud Security,Corp IT Security / Enterprise Security,Enterprise Risk,GRC,Identity & Access Management / IAM,Incident Response,Product Security / AppSec,Security Operations,Third Party Risk Management (TPRM)",2,At least quarterly,No,,,No,"Corporate Directors & Officers (D&O) Policy,Corporate Indemnification Policy",No,No,No,Yes (Cash and / or Equity),"Attack Surface / Risk Assessment,Business Impact,Financial and/or Risk-Based Metrics",No,"AI model and data protection (e.g., model inversion, prompt injection, inference attacks, etc)",Established and repeatable,5,Other,"Data exposure/privacy breaches,Integration with critical systems creating attack vectors",None at this time,"Identity/credential theft,Zero-day exploits",Somewhat confident,"Location (RTO) constraints limiting hiring,Uncertainty in defining the right skills and profile for the role",No,Synthetic,CISO,SHI International
Synthetic-2026,Chief Information Security Officer,CISO / Head Security Level,Male,"New York, NY, USA",NYC Metro,North America,17,Yes,< 250 employees,Professional Services,Baseline,Privately Held Company,CEO,"$400,000","$94,000","$250,000","$744,000","AI Data Protection / Privacy and Security,AI Governance / Risk Management and Policy,AI Safety & Reliability,AI Threat Intelligence and Incident Response,AI/ML Security Engineering,Cloud Security,Corp IT Security / Enterprise Security,Incident Response,Physical Security / Executive Protection,Security Operations,Third Party Risk Management (TPRM)",12,Per request,Yes,"$50,000","$50,000",No,"Corporate Indemnification Policy,Corporate Directors & Officers (D&O) Policy",No,No,No,No,"Business Impact,Financial and/or Risk-Based Metrics",Yes,Workforce training and upskilling on AI risks,Initial / ad hoc efforts,5,Establishing regulatory compliance and auditability for AI systems,"Data exposure/privacy breaches,Shadow AI usage bypassing security controls","ISO/IEC 23894 (AI Risk Management),NIST AI Risk Management Framework (AI RMF)","API security,Insider threats",Very confident,"Competing with salary expectations in the market,Location (RTO) constraints limiting hiring",No,Synthetic,CISO,Veeva Systems
Synthetic-2026,CISO,CISO / Head Security Level,Female,"New York, NY, USA",NYC Metro,North America,14,Yes,< 250 employees,Manufacturing,Baseline,Privately Held Company,CEO,"$180,000","$40,000","$400,000","$620,000","AI Data Protection / Privacy and Security,AI Threat Intelligence and Incident Response,AI/ML Security Engineering,Cloud Security,Corp IT Security / Enterprise Security,Enterprise Risk,GRC,Identity & Access Management / IAM,Incident Response,Product Security / AppSec,Security Operations",4,Per request,No,,,No,Neither,No,No,Yes,No,"Attack Surface / Risk Assessment,Business Impact,Financial and/or Risk-Based Metrics",No,Workforce training and upskilling on AI risks,Initial / ad hoc efforts,5,Ensuring transparency and explainability of AI-driven decisions,"AI decision-making in security tools creating blind spots,Dependency on AI vendors with unclear security practices",Internal / proprietary AI risk framework,"Identity/credential theft,Insider threats,Phishing/social engineering",Not confident,Risk of hiring someone who looks good on paper but lacks depth,No,Synthetic,CISO,Checkmarx
Synthetic-2026,Director of Product Security,NextGen,Female,"Austin, TX, USA",Austin,North America,82,No,"5000 - 9,999 employees",Consumer Software,Baseline,Privately Held Company,CISO,"$200,000","$23,000","$200,000","$423,000","AI Data Protection / Privacy and Security,AI Ethics & Responsible Use,AI Governance / Risk Management and Policy,AI Safety & Reliability,Cloud Security,Corp IT Security / Enterprise Security,Identity & Access Management / IAM,Incident Response,Information Technology (IT) / Business Technology (BizApps),Product Security / AppSec,Security Operations,Third Party Risk Management (TPRM),Trust & Safety",15,At least annually,Yes,"$335,000","$335,000",No,Corporate Directors & Officers (D&O) Policy,No,No,No,No,"Business Impact,Financial and/or Risk-Based Metrics",No,Third-party/vendor AI risk management,Developing but inconsistent,1,Establishing regulatory compliance and auditability for AI systems,"Data exposure/privacy breaches,Shadow AI usage bypassing security controls",EU AI Act requirements (compliance-driven),"AI-enhanced attacks,Insider threats,Phishing/social engineering,Third party risk attacks",Very confident,Time spent screening unqualified candidates,I am the AI Security leader,Synthetic,Director Product Security,Evolent Health
Synthetic-2026,VP Security,NextGen,Male,"San Francisco, CA, USA",Bay Area,North America,36,Yes,500 - 999 employees,Professional Services,Baseline,Privately Held Company,CISO,"$200,000","$61,000",,"$261,000","AI Data Protection / Privacy and Security,AI Ethics & Responsible Use,AI Threat Intelligence and Incident Response,Cloud Security,Corp IT Security / Enterprise Security,Fraud,GRC,Identity & Access Management / IAM,Incident Response,Product Security / AppSec,Security Operations,Third Party Risk Management (TPRM)",2,I do not report to the Board of Directors,No,,,No,Corporate Directors & Officers (D&O) Policy,No,No,Yes,No,"Attack Surface / Risk Assessment,Business Impact",No,Monitoring and detection for AI-driven threats,Developing but inconsistent,20,Ensuring transparency and explainability of AI-driven decisions,"AI decision-making in security tools creating blind spots,Data exposure/privacy breaches,Regulatory compliance violations,Shadow AI usage bypassing security controls","Internal / proprietary AI risk framework,None at this time","Phishing/social engineering,Ransomware",Somewhat confident,"Location (RTO) constraints limiting hiring,Other,Uncertainty in defining the right skills and profile for the role",No,Synthetic,VP Security,Datto
Synthetic-2026,"Global Director, Governance, Risk, & Compliance",NextGen,Male,"San Francisco, CA, USA",Bay Area,North America,15,No,1000 - 4999 employees,Other,Baseline,Privately Held Company,CISO,"$190,000","$120,000",,"$310,000","AI Safety & Reliability,AI Threat Intelligence and Incident Response,Cloud Security,Corp IT Security / Enterprise Security,Identity & Access Management / IAM,Incident Response,Information Technology (IT) / Business Technology (BizApps),Post-Quantum Cryptography (PQC),Product Security / AppSec,Security Operations,Third Party Risk Management (TPRM)",6,I do not report to the Board of Directors,No,,,No,"Corporate Directors & Officers (D&O) Policy,Corporate Indemnification Policy",No,No,No,No,"Attack Surface / Risk Assessment,Business Impact,Compliance and Regulatory Fine(s) Avoidance",Yes,"AI model and data protection (e.g., model inversion, prompt injection, inference attacks, etc)",Initial / ad hoc efforts,10,Defining clear accountability/ownership for AI risk across the business,"AI-generated content being used in social engineering attacks,Data exposure/privacy breaches",None at this time,"API security,Identity/credential theft",Somewhat confident,"Location (RTO) constraints limiting hiring,Uncertainty in defining the right skills and profile for the role",No,Synthetic,Director GRC,Fivetran
Synthetic-2026,"Director, GRC",NextGen,Male,"Denver, CO, USA",Denver,North America,5,Yes,"5000 - 9,999 employees",Retail,Baseline,Publicly Traded Company,CISO,"$190,000","$45,000","$120,000","$355,000","AI Data Protection / Privacy and Security,AI Ethics & Responsible Use,AI Governance / Risk Management and Policy,AI Threat Intelligence and Incident Response,Cloud Security,Corp IT Security / Enterprise Security,Enterprise Risk,GRC,Incident Response,Information Technology (IT) / Business Technology (BizApps),Product Security / AppSec,Security Operations,Third Party Risk Management (TPRM)",2,I do not report to the Board of Directors,Yes,"$200,000","$200,000",No,Corporate Directors & Officers (D&O) Policy,Yes,No,Yes,No,"Attack Surface / Risk Assessment,Business Impact,Compliance and Regulatory Fine(s) Avoidance",Yes,"AI model and data protection (e.g., model inversion, prompt injection, inference attacks, etc)",Established and repeatable,5,Aligning AI security with enterprise risk management frameworks,"Data exposure/privacy breaches,Shadow AI usage bypassing security controls",NIST AI Risk Management Framework (AI RMF),"Cloud misconfigurations,Third party risk attacks",Somewhat confident,Competing with salary expectations in the market,Yes,Synthetic,Director GRC,Boeing
11/8/2025,vCISO,CISO / Head Security Level,Male,Chattanooga / TN / USA,Chattanooga,North America,36,Yes,500 - 999 employees,Professional Services,Baseline,Privately Held Company,VP Engineering,"$195,000","$20,000",,"$215,000",GRC,0,I do not report to the Board of Directors,No,,,No,Not Sure,No,No,Yes,No,Business Impact,No,"AI model and data protection (e.g., model inversion, prompt injection, inference attacks, etc)",Initial / ad hoc efforts,10,Shadow AI,Data exposure/privacy breaches,None at this time,"Ransomware,Phishing/social engineering",Not confident,"Location (RTO) constraints limiting hiring,Risk of hiring someone who looks good on paper but lacks depth",No,Actual,CISO,
Synthetic-2026,"Managing Director, Security Arch & Eng",NextGen,Male,"Sarasota, USA",Sarasota,North America,50,No,1000 - 4999 employees,Insurance,Baseline,Privately Held Company,CISO,"$195,000","$24,000",,"$219,000","AI Data Protection / Privacy and Security,AI Governance / Risk Management and Policy,AI Threat Intelligence and Incident Response,Cloud Security,Corp IT Security / Enterprise Security,Incident Response,Product Security / AppSec,Security Operations,Third Party Risk Management (TPRM)",15,I do not report to the Board of Directors,No,,,No,Corporate Directors & Officers (D&O) Policy,No,No,Yes,Yes (Cash and / or Equity),"Compliance and Regulatory Fine(s) Avoidance,Other",No,Monitoring and detection for AI-driven threats,Established and repeatable,10,Managing third-party/vendor AI risk,"Data exposure/privacy breaches,Integration with critical systems creating attack vectors,Shadow AI usage bypassing security controls",EU AI Act requirements (compliance-driven),"API security,Ransomware",Not confident,"Competing with salary expectations in the market,Risk of hiring someone who looks good on paper but lacks depth",No,Synthetic,Director Security Engineering,Resilience Cyber Insurance
Synthetic-2026,Director of Security Engineering,NextGen,Male,"Houston, TX, USA",Houston,North America,45,No,500 - 999 employees,Logistics / Transportation,Baseline,Privately Held Company,CISO,"$195,000","$31,000",,"$226,000","AI Data Protection / Privacy and Security,AI Governance / Risk Management and Policy,AI Threat Intelligence and Incident Response,AI/ML Security Engineering,Cloud Security,Corp IT Security / Enterprise Security,Enterprise Risk,GRC,Identity & Access Management / IAM,Information Technology (IT) / Business Technology (BizApps),Product Security / AppSec,Security Operations,Trust & Safety",25,I do not report to the Board of Directors,No,,,No,Corporate Directors & Officers (D&O) Policy,No,No,No,No,"Attack Surface / Risk Assessment,Business Impact",No,"AI model and data protection (e.g., model inversion, prompt injection, inference attacks, etc)",Established and repeatable,10,Managing third-party/vendor AI risk,"AI decision-making in security tools creating blind spots,Data exposure/privacy breaches,Dependency on AI vendors with unclear security practices,Shadow AI usage bypassing security controls","EU AI Act requirements (compliance-driven),ISO/IEC 23894 (AI Risk Management)","AI-enhanced attacks,Cloud misconfigurations,Other",Not confident,"Time spent screening unqualified candidates,Uncertainty in defining the right skills and profile for the role",No,Synthetic,Director Security Engineering,Bugcrowd
Synthetic-2026,VP of Business Technology,NextGen,Male,"Seattle, WA, USA",Seattle,North America,10,No,"5000 - 9,999 employees",Retail,Baseline,Privately Held Company,CISO,"$195,000","$172,000",,"$367,000","AI Governance / Risk Management and Policy,AI Safety & Reliability,AI Threat Intelligence and Incident Response,AI/ML Security Engineering,Cloud Security,Corp IT Security / Enterprise Security,GRC,Identity & Access Management / IAM,Incident Response,Other,Product Security / AppSec,Security Operations",7,I do not report to the Board of Directors,No,,,No,Neither,No,No,Yes,No,Compliance and Regulatory Fine(s) Avoidance,No,Monitoring and detection for AI-driven threats,Initial / ad hoc efforts,5,Ensuring transparency and explainability of AI-driven decisions,Shadow AI usage bypassing security controls,"EU AI Act requirements (compliance-driven),ISO/IEC 23894 (AI Risk Management),NIST AI Risk Management Framework (AI RMF)","AI-enhanced attacks,Insider threats,Zero-day exploits",Very confident,Competing with salary expectations in the market,Already have a dedicated AI Security leader in place,Synthetic,VP Business Technology,Snyk
Synthetic-2026,"VP, Deputy CISO",NextGen,Male,"Minneapolis, MN, USA",Minneapolis,North America,4,Yes,"25,000+ employees",Leisure / Hospitality,Baseline,Privately Held Company,CISO,"$200,000","$78,000","$400,000","$678,000","AI Data Protection / Privacy and Security,AI Governance / Risk Management and Policy,AI/ML Security Engineering,Cloud Security,Corp IT Security / Enterprise Security,Enterprise Risk,GRC,Incident Response,Physical Security / Executive Protection,Post-Quantum Cryptography (PQC),Privacy,Security Operations,Third Party Risk Management (TPRM)",77,I do not report to the Board of Directors,No,,,No,Corporate Directors & Officers (D&O) Policy,No,Yes,No,No,"Business Impact,Financial and/or Risk-Based Metrics",No,Workforce training and upskilling on AI risks,Developing but inconsistent,10,Shadow AI,"Data exposure/privacy breaches,Dependency on AI vendors with unclear security practices,Integration with critical systems creating attack vectors",EU AI Act requirements (compliance-driven),"API security,Third party risk attacks",Not confident,Competing with salary expectations in the market,No,Synthetic,Deputy CISO,Sumo Logic
1/5/2026,Regional CISO Americas,CISO / Head Security Level,Female,"Newport News, VA",Newport News,North America,2,No,"25,000+ employees",Construction,Baseline,Privately Held Company,CIO,"$200,000",,,"$200,000",Other,10,I do not report to the Board of Directors,No,,,No,Neither,No,No,No,,Financial and/or Risk-Based Metrics,No,Monitoring and detection for AI-driven threats,No capability in place,1,Defining clear accountability/ownership for AI risk across the business,"Data exposure/privacy breaches,Intellectual property theft through AI platforms","EU AI Act requirements (compliance-driven),NIST AI Risk Management Framework (AI RMF)","Identity/credential theft,Phishing/social engineering",Not confident,"Competing with salary expectations in the market,Location (RTO) constraints limiting hiring",Yes,Actual,CISO,
Synthetic-2026,Head of Security,CISO / Head Security Level,Male,"San Francisco, CA, USA",Bay Area,North America,115,Yes,250 - 499 employees,Professional Services,Baseline,Privately Held Company,CEO,"$200,000","$60,000",,"$260,000","AI Data Protection / Privacy and Security,AI Safety & Reliability,AI Threat Intelligence and Incident Response,AI/ML Security Engineering,Cloud Security,Corp IT Security / Enterprise Security,Fraud,GRC,Identity & Access Management / IAM,Incident Response,Infrastructure Engineering / Operations,Privacy,Security Operations,Third Party Risk Management (TPRM),Trust & Safety",12,I do not report to the Board of Directors,No,,,No,Neither,No,No,No,No,"Compliance and Regulatory Fine(s) Avoidance,Financial and/or Risk-Based Metrics",Yes,Workforce training and upskilling on AI risks,Developing but inconsistent,4,Defining clear accountability/ownership for AI risk across the business,"Data exposure/privacy breaches,Dependency on AI vendors with unclear security practices,Integration with critical systems creating attack vectors,Other",NIST AI Risk Management Framework (AI RMF),"AI-enhanced attacks,Identity/credential theft,Insider threats,Third party risk attacks",Somewhat confident,Competing with salary expectations in the market,No,Synthetic,CISO,NinjaRMM
Synthetic-2026,"EVP, CISO",CISO / Head Security Level,Male,"San Francisco, CA, USA",Bay Area,North America,20,Yes,< 250 employees,Telecommunications,Baseline,Privately Held Company,CEO,"$200,000","$5,000","$400,000","$605,000","AI Data Protection / Privacy and Security,AI Ethics & Responsible Use,AI Governance / Risk Management and Policy,AI Safety & Reliability,AI Threat Intelligence and Incident Response,AI/ML Security Engineering,Cloud Security,Corp IT Security / Enterprise Security,Enterprise Risk,Fraud,GRC,Identity & Access Management / IAM,Incident Response,Post-Quantum Cryptography (PQC),Privacy,Product Security / AppSec,Security Operations",10,At least quarterly,No,,,No,"Corporate Directors & Officers (D&O) Policy,Corporate Indemnification Policy",No,No,Yes,Yes (Cash and / or Equity),"Compliance and Regulatory Fine(s) Avoidance,Financial and/or Risk-Based Metrics",No,Third-party/vendor AI risk management,Established and repeatable,2,Aligning AI security with enterprise risk management frameworks,"Data exposure/privacy breaches,Integration with critical systems creating attack vectors",NIST AI Risk Management Framework (AI RMF),"API security,Ransomware",Somewhat confident,"Competing with salary expectations in the market,Location (RTO) constraints limiting hiring,Time spent screening unqualified candidates",No,Synthetic,CISO,Wiz
Synthetic-2026,"Senior Director, GRC",NextGen,Male,"Austin, TX, USA",Austin,North America,78,Yes,"5000 - 9,999 employees",Other,Baseline,Privately Held Company,CISO,"$400,000","$24,000",,"$424,000","AI Governance / Risk Management and Policy,AI Threat Intelligence and Incident Response,Cloud Security,Corp IT Security / Enterprise Security,Incident Response,Product Security / AppSec,Security Operations,Third Party Risk Management (TPRM)",2,I do not report to the Board of Directors,Yes,"$15,000","$15,000",No,Neither,No,No,No,Yes (Cash and / or Equity),"Business Impact,Compliance and Regulatory Fine(s) Avoidance",No,"AI model and data protection (e.g., model inversion, prompt injection, inference attacks, etc)",Developing but inconsistent,3,Defining clear accountability/ownership for AI risk across the business,Shadow AI usage bypassing security controls,NIST AI Risk Management Framework (AI RMF),"API security,Cloud misconfigurations",Somewhat confident,"Competing with salary expectations in the market,Time spent screening unqualified candidates",No,Synthetic,Director GRC,Concentric AI
1/5/2026,CISO,CISO / Head Security Level,Male,"Rancho Mission Viejo, CA, USA",Los Angeles,North America,37,Yes,1000 - 4999 employees,Internet,Baseline,Privately Held Company,General Counsel / Chief Legal Officer,"$200,000","$40,000","$235,000","$475,000","Cloud Security,Corp IT Security / Enterprise Security,Enterprise Risk,GRC,Identity & Access Management / IAM,Incident Response,Product Security / AppSec,Security Operations,Third Party Risk Management (TPRM),AI/ML Security Engineering,AI Data Protection / Privacy and Security",4,I do not report to the Board of Directors,No,,,No,Neither,No,Yes,Yes,No,"Financial and/or Risk-Based Metrics,Attack Surface / Risk Assessment",No,"AI model and data protection (e.g., model inversion, prompt injection, inference attacks, etc)",Developing but inconsistent,1,Defining clear accountability/ownership for AI risk across the business,"Data exposure/privacy breaches,Integration with critical systems creating attack vectors",None at this time,"Mobile / BYOD threats,Phishing/social engineering",Not confident,"Competing with salary expectations in the market,Risk of hiring someone who looks good on paper but lacks depth",I am the AI Security leader,Actual,CISO,
Synthetic-2026,"EVP, CISO",CISO / Head Security Level,Male,"New York, NY, USA",NYC Metro,North America,48,Yes,1000 - 4999 employees,Entertainment,Baseline,Privately Held Company,Chief Information Officer,"$200,000","$75,000",,"$275,000","AI Data Protection / Privacy and Security,AI Ethics & Responsible Use,AI Threat Intelligence and Incident Response,AI/ML Security Engineering,Corp IT Security / Enterprise Security,Enterprise Risk,Incident Response,Physical Security / Executive Protection,Product Security / AppSec,Security Operations,Third Party Risk Management (TPRM),Trust & Safety",30,I do not report to the Board of Directors,No,,,No,"Corporate Directors & Officers (D&O) Policy,Corporate Indemnification Policy",No,No,Yes,Yes (Cash and / or Equity),"Attack Surface / Risk Assessment,Business Impact,Financial and/or Risk-Based Metrics",Yes,Workforce training and upskilling on AI risks,Developing but inconsistent,10,Defining clear accountability/ownership for AI risk across the business,Dependency on AI vendors with unclear security practices,"Internal / proprietary AI risk framework,NIST AI Risk Management Framework (AI RMF),None at this time","AI-enhanced attacks,Phishing/social engineering",Very confident,Time spent screening unqualified candidates,No,Synthetic,CISO,Verkada
Synthetic-2026,CISO,CISO / Head Security Level,Male,"Boston, MA, USA",Boston,North America,5,Yes,< 250 employees,Entertainment,Baseline,Privately Held Company,CEO,"$200,000","$100,000",,"$300,000","AI Data Protection / Privacy and Security,AI Ethics & Responsible Use,AI Governance / Risk Management and Policy,AI Threat Intelligence and Incident Response,AI/ML Security Engineering,Cloud Security,Corp IT Security / Enterprise Security,Fraud,GRC,Identity & Access Management / IAM,Incident Response,Information Technology (IT) / Business Technology (BizApps),Privacy,Product Security / AppSec,Trust & Safety",9,At least quarterly,No,,,No,Neither,No,Yes,Yes,No,"Financial and/or Risk-Based Metrics,Percentage of company revenue",No,"AI model and data protection (e.g., model inversion, prompt injection, inference attacks, etc)",Developing but inconsistent,5,Aligning AI security with enterprise risk management frameworks,"Data exposure/privacy breaches,Integration with critical systems creating attack vectors","NIST AI Risk Management Framework (AI RMF),OECD AI Principles / other international guidelines","Phishing/social engineering,Ransomware",Not confident,Location (RTO) constraints limiting hiring,No,Synthetic,CISO,Sumo Logic
